	***Cannot bisect a graph with 0 vertices!
	***You are trying to partition a graph into too many parts!
	***Cannot bisect a graph with 0 vertices!
	***You are trying to partition a graph into too many parts!
Sec,Throughput,Graph Vertices,Graph Edges
0,373910,5759,0
1,404202,5860,0
2,437386,5785,0
3,364045,5815,0
4,386654,5867,0
5,399030,5885,0
6,401736,5906,0
7,404443,5818,0
8,402856,5799,0
9,403649,5895,0
10,463277,5884,0
11,523657,5925,0
12,466149,5860,0
13,485358,5936,0
14,461083,5949,0
15,456597,5920,0
16,521861,5964,0
17,478878,5923,0
18,492195,5962,0
19,536098,5936,0
20,538314,5863,0
21,529861,5955,0
22,537356,5878,0
23,543766,5998,0
24,542981,5959,0
25,549002,5948,0
26,549662,6020,0
27,546803,5961,0
28,547535,6056,0
29,549899,5984,0
30,549003,6021,0
31,535702,6031,0
32,550428,5987,0
33,496704,5999,0
34,501646,5993,0
35,510184,6028,0
36,566113,6005,0
37,560304,6097,0
38,562477,6169,0
39,551697,6056,0
40,548828,6123,0
41,559392,6089,0
42,558669,6060,0
43,563490,5926,0
44,559352,6062,0
45,558860,6092,0
46,562821,5980,0
47,562121,6107,0
48,558578,6057,0
49,565494,6087,0
50,568061,5985,0
51,565448,6056,0
52,389061,6101,0
53,460212,6171,0
54,547836,6119,0
55,561888,6137,0
56,484548,6187,0
57,553711,6177,0
58,519927,6088,0
59,549498,6236,0
60,575068,6101,0
61,569797,6080,0
62,572863,6148,0
63,575037,6150,0
64,578011,6188,0
65,572241,6165,0
66,578290,6104,0
67,573751,6165,0
68,518381,6212,0
69,565437,6215,0
70,573112,6289,0
71,576009,6192,0
72,576153,6260,0
73,577856,6195,0
74,581177,6244,0
75,581760,6258,0
76,577959,6135,0
77,579106,6201,0
78,469196,6247,0
79,435978,6247,0
80,441384,6246,0
81,445963,6281,0
82,437954,6218,0
83,439940,6231,0
84,440555,6302,0
85,441926,6243,0
86,528970,6276,0
87,576382,6305,0
88,546424,6310,0
89,586882,6363,0
90,589981,6205,0
91,584687,6297,0
92,590112,6333,0
93,594927,6326,0
94,583579,6221,0
95,482856,6290,0
