Sec,Throughput,Graph Vertices,Graph Edges
0,230463,1018478,0
1,246812,1036553,0
2,257206,1056328,0
3,267443,1076778,0
4,270321,1097333,0
5,281139,1117229,0
6,272424,1136992,0
7,272775,1155365,0
8,274710,1174935,0
9,275724,1194692,0
10,276107,1214136,0
11,281499,1236025,0
12,280354,1256594,0
13,280486,1277442,0
14,283226,1297611,0
15,284107,1317587,0
16,281568,1336494,0
17,280627,1356652,0
18,283600,1377023,0
19,283655,1397055,0
20,282132,1416380,0
21,281731,1436263,0
22,283738,1456616,0
23,284396,1477808,0
24,284039,1497166,0
25,287096,1500781,0
26,286133,1500781,0
27,286830,1500781,0
28,273452,1501692,0
29,281958,1522740,0
30,284068,1543333,0
31,284572,1563850,0
32,284181,1583998,0
33,284300,1604161,0
34,284510,1624506,0
35,257727,1645008,0
36,178627,1666155,0
37,261656,1686699,0
38,274949,1707233,0
39,283259,1727718,0
40,284308,1748116,0
41,282085,1767490,0
42,283393,1787214,0
43,283809,1807549,0
44,279241,1828149,0
45,283169,1849633,0
46,283694,1870140,0
47,283465,1890046,0
48,283733,1910314,0
49,283492,1930359,0
50,283636,1950273,0
51,283389,1973036,0
52,283480,1994156,0
53,287036,2000423,0
54,288672,2000423,0
55,288318,2000423,0
56,287551,2000423,0
57,281718,2000423,0
58,287700,2000423,0
59,268828,2021530,0
60,279733,2043003,0
61,281987,2063671,0
62,276565,2083465,0
63,279271,2105624,0
64,278849,2127027,0
65,275078,2147796,0
66,283791,2167901,0
67,284932,2188319,0
68,284362,2208776,0
69,284515,2229354,0
70,282204,2249812,0
71,239229,2270655,0
72,146464,2292112,0
73,255432,2312651,0
74,263659,2331631,0
75,281559,2351476,0
76,282974,2371329,0
77,283090,2391237,0
78,283289,2410982,0
79,281440,2431219,0
80,281713,2451121,0
81,282309,2470963,0
82,282291,2490686,0
83,285286,2501204,0
84,287027,2501204,0
85,286967,2501204,0
86,286441,2501204,0
87,286449,2501204,0
88,285020,2501204,0
89,264227,2502337,0
90,283004,2523061,0
91,283322,2545498,0
92,283728,2566533,0
93,283282,2586792,0
94,283527,2606754,0
95,283486,2626704,0
96,279991,2645453,0
97,279772,2665122,0
98,283743,2685106,0
99,283549,2704841,0
100,283469,2724925,0
101,283708,2745295,0
102,279237,2764633,0
103,280156,2784867,0
104,283281,2804994,0
105,284002,2825245,0
106,284095,2845477,0
107,267066,2866003,0
108,197100,2887398,0
109,255095,2907757,0
110,275793,2927941,0
111,284306,2938680,0
112,281160,2967901,0
113,282696,2987439,0
114,284600,3000740,0
115,286308,3000740,0
116,284478,3000740,0
117,281851,3000740,0
118,285132,3000740,0
119,284968,3000740,0
120,286995,3000740,0
121,287686,3000740,0
122,287734,3000740,0
123,283841,3011070,0
124,240923,3028040,0
125,257593,3045959,0
126,274027,3064390,0
127,279886,3085815,0
128,283059,3105819,0
129,279963,3126121,0
130,280527,3146480,0
131,282708,3166638,0
132,283424,3187845,0
133,283536,3208395,0
134,283478,3228734,0
135,282871,3248724,0
136,283000,3268551,0
137,283296,3288526,0
138,283744,3308607,0
139,283731,3328813,0
140,281449,3348188,0
141,281561,3366993,0
142,280293,3388958,0
143,255822,3409850,0
144,97626,3432005,0
145,219654,3451462,0
146,262974,3471251,0
147,273771,3490758,0
148,285678,3500974,0
149,289529,3500974,0
150,287856,3500974,0
151,288746,3500974,0
152,288132,3500974,0
153,287683,3500974,0
154,286708,3500974,0
155,284217,3500974,0
156,287701,3500974,0
157,287471,3500974,0
158,286234,3500974,0
159,270320,3500974,0
160,293938,3500974,0
161,294275,3500974,0
162,293955,3500974,0
163,294612,3500974,0
164,294688,3500974,0
165,294451,3500974,0
166,294425,3500974,0
167,294037,3500974,0
168,294330,3500974,0
169,294533,3500974,0
170,292518,3500974,0
171,293277,3500974,0
172,292574,3500974,0
173,287246,3500974,0
174,289344,3500974,0
175,292308,3500974,0
176,292343,3500974,0
177,292121,3500974,0
178,293691,3500974,0
179,206898,3500974,0
180,12614,3500974,0
